ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
47782,Nikolai Hentsch,M,18.0,186.0,83.0,Brazil,BRA,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Men's Giant Slalom,
47782,Nikolai Hentsch,M,22.0,186.0,83.0,Brazil,BRA,2006 Winter,2006,Winter,Torino,Alpine Skiing,Alpine Skiing Men's Downhill,
47782,Nikolai Hentsch,M,22.0,186.0,83.0,Brazil,BRA,2006 Winter,2006,Winter,Torino,Alpine Skiing,Alpine Skiing Men's Super G,
47782,Nikolai Hentsch,M,22.0,186.0,83.0,Brazil,BRA,2006 Winter,2006,Winter,Torino,Alpine Skiing,Alpine Skiing Men's Giant Slalom,
47782,Nikolai Hentsch,M,22.0,186.0,83.0,Brazil,BRA,2006 Winter,2006,Winter,Torino,Alpine Skiing,Alpine Skiing Men's Combined,
47910,"Maria Jlia ""Maju"" de Castro Herklotz",F,28.0,176.0,58.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Fencing,"Fencing Women's Foil, Individual",
47976,Daniel Andrey Hernandes,M,21.0,190.0,147.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Judo,Judo Men's Heavyweight,
47976,Daniel Andrey Hernandes,M,25.0,190.0,147.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Judo,Judo Men's Heavyweight,
47977,Vnia Hernandes de Souza,F,29.0,178.0,,Brazil,BRA,1992 Summer,1992,Summer,Barcelona,Basketball,Basketball Women's Basketball,
48108,Anderson Hernanes de Carvalho Andrade Lima,M,23.0,180.0,76.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Football,Football Men's Football,Bronze
48177,Graciele Herrmann,F,20.0,180.0,64.0,Brazil,BRA,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 50 metres Freestyle,
48177,Graciele Herrmann,F,24.0,180.0,64.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 50 metres Freestyle,
48301,Rafael Estevo Hettsheimeir,M,30.0,208.0,120.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Men's Basketball,
48311,Walter Heuer,M,44.0,,,Lbeck,BRA,1936 Summer,1936,Summer,Berlin,Sailing,Sailing Mixed One Person Dinghy,
48638,Hilma Aparecida Caldeira,F,20.0,182.0,74.0,Brazil,BRA,1992 Summer,1992,Summer,Barcelona,Volleyball,Volleyball Women's Volleyball,
48638,Hilma Aparecida Caldeira,F,24.0,182.0,74.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Volleyball,Volleyball Women's Volleyball,Bronze
48727,"Thomas Valdemar ""Tom"" Hintnaus",M,26.0,180.0,78.0,Brazil,BRA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's Pole Vault,
49110,Rodrigo Hoffelder,M,21.0,183.0,86.0,Brazil,BRA,1992 Summer,1992,Summer,Barcelona,Handball,Handball Men's Handball,
49110,Rodrigo Hoffelder,M,25.0,183.0,86.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Handball,Handball Men's Handball,
49769,Carlos Eduardo Honorato,M,25.0,175.0,90.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Judo,Judo Men's Middleweight,Silver
49769,Carlos Eduardo Honorato,M,29.0,175.0,90.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Judo,Judo Men's Middleweight,
50041,Hortncia Maria de Ftima Marcari Oliva,F,32.0,174.0,60.0,Brazil,BRA,1992 Summer,1992,Summer,Barcelona,Basketball,Basketball Women's Basketball,
50041,Hortncia Maria de Ftima Marcari Oliva,F,36.0,174.0,60.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Basketball,Basketball Women's Basketball,Silver
50385,Hugo Hoyama,M,23.0,170.0,66.0,Brazil,BRA,1992 Summer,1992,Summer,Barcelona,Table Tennis,Table Tennis Men's Singles,
50385,Hugo Hoyama,M,23.0,170.0,66.0,Brazil,BRA,1992 Summer,1992,Summer,Barcelona,Table Tennis,Table Tennis Men's Doubles,
50385,Hugo Hoyama,M,27.0,170.0,66.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Table Tennis,Table Tennis Men's Singles,
50385,Hugo Hoyama,M,27.0,170.0,66.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Table Tennis,Table Tennis Men's Doubles,
50385,Hugo Hoyama,M,31.0,170.0,66.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Table Tennis,Table Tennis Men's Singles,
